Date : 2023-04-17 16:51:09
Directory : e:\asdsadasd\FrontasBakio
Total : 68 files,  16192 codes, 49 comments, 651 blanks, all 16892 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| bakiofrontas\src\components\MoviesCollection                                              |          5 |        332 |          2 |         66 |        400 |
| bakiofrontas\src\components\Mylist                                                        |          1 |         86 |          0 |         12 |         98 |
| bakiofrontas\src\components\NavBar                                                        |          1 |        194 |          0 |         30 |        224 |
| bakiofrontas\src\components\Post                                                          |          4 |        313 |          3 |         71 |        387 |
| bakiofrontas\src\components\Profile                                                       |          1 |        140 |          0 |         28 |        168 |
| bakiofrontas\src\components\Recommendations                                               |          3 |        207 |          3 |         34 |        244 |
| bakiofrontas\src\components\Register                                                      |          1 |        103 |          0 |          9 |        112 |
| bakiofrontas\src\components\RightSideBar                                                  |          4 |         99 |          0 |         23 |        122 |
| bakiofrontas\src\components\SearchBar                                                     |          1 |         48 |          1 |          9 |         58 |
| bakiofrontas\src\components\Tabs                                                          |          4 |        213 |          0 |         49 |        262 |
| bakiofrontas\src\components\Users                                                         |          4 |        190 |          4 |         42 |        236 |
| bakiofrontas\src\img                                                                      |          1 |         53 |          0 |          1 |         54 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\asdsadasd\FrontasBakio\bakiofrontas\README.md                                          | Markdown           |         26 |          0 |         21 |         47 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\package-lock.json                                  | JSON               |     12,561 |          0 |          1 |     12,562 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\package.json                                       | JSON               |         53 |          0 |          1 |         54 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\public\index.html                                  | HTML               |         20 |         23 |          1 |         44 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\public\manifest.json                               | JSON               |         25 |          0 |          1 |         26 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.css                                        | CSS                |         33 |          0 |          7 |         40 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.test.tsx                                   | TypeScript JSX     |          8 |          0 |          2 |         10 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\App.tsx                                        | TypeScript JSX     |         12 |          0 |          3 |         15 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Api\Api.tsx                         | TypeScript JSX     |         54 |          0 |         11 |         65 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.css                       | CSS                |         27 |          0 |          3 |         30 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Chat\Chat.tsx                       | TypeScript JSX     |        106 |          1 |         30 |        137 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ChatContainer.tsx         | TypeScript JSX     |         94 |          0 |          5 |         99 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.css             | CSS                |         21 |          0 |          4 |         25 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\Container.tsx             | TypeScript JSX     |         58 |          0 |          2 |         60 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\ProfileContainer.tsx      | TypeScript JSX     |         57 |          0 |          4 |         61 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\RecomContainer.tsx        | TypeScript JSX     |         93 |          0 |          7 |        100 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Container\TempContainer.tsx         | TypeScript JSX     |        122 |          0 |          6 |        128 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\Filter.css                   | CSS                |          7 |          0 |          0 |          7 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\Filter.tsx                   | TypeScript JSX     |         42 |          0 |         14 |         56 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Filter\FilterOption.tsx             | TypeScript JSX     |         19 |          0 |          4 |         23 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Form\Form.tsx                       | TypeScript JSX     |         31 |          0 |          4 |         35 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Form\UploadImageForm.tsx            | TypeScript JSX     |         42 |          0 |          7 |         49 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\FriendRequest\Request.tsx           | TypeScript JSX     |         92 |          4 |         28 |        124 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\FriendRequest\Requests.tsx          | TypeScript JSX     |         33 |          0 |          8 |         41 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Friends\FriendChat.tsx              | TypeScript JSX     |         64 |          0 |         21 |         85 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Friends\FriendsChat.tsx             | TypeScript JSX     |         39 |          0 |          6 |         45 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\LeftSideBar\Leftsidebar.css         | CSS                |          8 |          0 |          1 |          9 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Login\Login.tsx                     | TypeScript JSX     |        105 |          0 |         11 |        116 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\Movie.css                     | CSS                |        122 |          0 |         27 |        149 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\Movie.tsx                     | TypeScript JSX     |         84 |          0 |          6 |         90 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Movie\MoviePage.tsx                 | TypeScript JSX     |         54 |          0 |         10 |         64 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.css     | CSS                |         22 |          0 |          2 |         24 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Collection.tsx     | TypeScript JSX     |         83 |          0 |         24 |        107 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\CreatePost.tsx     | TypeScript JSX     |        105 |          0 |         15 |        120 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\Movie.tsx          | TypeScript JSX     |         66 |          0 |         17 |         83 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\MoviesCollection\SendToFriend.tsx   | TypeScript JSX     |         56 |          2 |          8 |         66 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Mylist\Mylist.tsx                   | TypeScript JSX     |         86 |          0 |         12 |         98 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\NavBar\NavBar.tsx                   | TypeScript JSX     |        194 |          0 |         30 |        224 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Comment.tsx                    | TypeScript JSX     |         29 |          0 |          3 |         32 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.css                       | CSS                |          6 |          0 |          0 |          6 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Post.tsx                       | TypeScript JSX     |        192 |          2 |         46 |        240 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Post\Posts.tsx                      | TypeScript JSX     |         86 |          1 |         22 |        109 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Profile\Profile.tsx                 | TypeScript JSX     |        140 |          0 |         28 |        168 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\AddFriends.tsx      | TypeScript JSX     |         39 |          0 |          6 |         45 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Friend.tsx          | TypeScript JSX     |        100 |          3 |         16 |        119 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Recommendations\Recommendations.tsx | TypeScript JSX     |         68 |          0 |         12 |         80 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Register\Register.tsx               | TypeScript JSX     |        103 |          0 |          9 |        112 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\Movie.css              | CSS                |         12 |          0 |          0 |         12 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightMovie.tsx         | TypeScript JSX     |         34 |          0 |         11 |         45 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.css       | CSS                |          0 |          0 |          2 |          2 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\RightSideBar\RightSideBar.tsx       | TypeScript JSX     |         53 |          0 |         10 |         63 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\SearchBar\SearchBar.tsx             | TypeScript JSX     |         48 |          1 |          9 |         58 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Loading.tsx                    | TypeScript JSX     |          9 |          0 |          2 |         11 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarNotifications.tsx        | TypeScript JSX     |         41 |          0 |         10 |         51 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\NavBarRequests.tsx             | TypeScript JSX     |         45 |          0 |          9 |         54 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Tabs\Tabs.tsx                       | TypeScript JSX     |        118 |          0 |         28 |        146 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.css                      | CSS                |         28 |          0 |          6 |         34 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\User.tsx                      | TypeScript JSX     |         98 |          4 |         22 |        124 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\UserSide.tsx                  | TypeScript JSX     |         26 |          0 |          7 |         33 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\components\Users\Users.tsx                     | TypeScript JSX     |         38 |          0 |          7 |         45 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\img\logo.svg                                   | XML                |         53 |          0 |          1 |         54 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.css                                      | CSS                |         18 |          0 |          6 |         24 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\index.tsx                                      | TypeScript JSX     |         43 |          3 |          9 |         55 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\logo.svg                                       | XML                |          1 |          0 |          0 |          1 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\react-app-env.d.ts                             | TypeScript         |          0 |          1 |          1 |          2 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\reportWebVitals.ts                             | TypeScript         |         13 |          0 |          3 |         16 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\src\setupTests.ts                                  | TypeScript         |          1 |          4 |          1 |          6 |
| e:\asdsadasd\FrontasBakio\bakiofrontas\tsconfig.json                                      | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                     |                    |     16,192 |         49 |        651 |     16,892 |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
