Date : 2023-04-17 16:51:09
Directory : e:\asdsadasd\FrontasBakio
Total : 68 files,  16192 codes, 49 comments, 651 blanks, all 16892 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     12,639 |          0 |          3 |     12,642 |
| TypeScript JSX     |         45 |      3,109 |         21 |        561 |      3,691 |
| CSS                |         12 |        304 |          0 |         58 |        362 |
| XML                |          2 |         54 |          0 |          1 |         55 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| TypeScript         |          3 |         14 |          5 |          5 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         68 |     16,192 |         49 |        651 |     16,892 |
| bakiofrontas                                                                              |         68 |     16,192 |         49 |        651 |     16,892 |
| bakiofrontas (Files)                                                                      |          4 |     12,666 |          0 |         24 |     12,690 |
| bakiofrontas\public                                                                       |          2 |         45 |         23 |          2 |         70 |
| bakiofrontas\src                                                                          |         62 |      3,481 |         26 |        625 |      4,132 |
| bakiofrontas\src (Files)                                                                  |          9 |        129 |          8 |         32 |        169 |
| bakiofrontas\src\components                                                               |         52 |      3,299 |         18 |        592 |      3,909 |
| bakiofrontas\src\components\Api                                                           |          1 |         54 |          0 |         11 |         65 |
| bakiofrontas\src\components\Chat                                                          |          2 |        133 |          1 |         33 |        167 |
| bakiofrontas\src\components\Container                                                     |          6 |        445 |          0 |         28 |        473 |
| bakiofrontas\src\components\Filter                                                        |          3 |         68 |          0 |         18 |         86 |
| bakiofrontas\src\components\Form                                                          |          2 |         73 |          0 |         11 |         84 |
| bakiofrontas\src\components\FriendRequest                                                 |          2 |        125 |          4 |         36 |        165 |
| bakiofrontas\src\components\Friends                                                       |          2 |        103 |          0 |         27 |        130 |
| bakiofrontas\src\components\LeftSideBar                                                   |          1 |          8 |          0 |          1 |          9 |
| bakiofrontas\src\components\Login                                                         |          1 |        105 |          0 |         11 |        116 |
| bakiofrontas\src\components\Movie                                                         |          3 |        260 |          0 |         43 |        303 |
